lat,lng,postalCode,data_updated_at,data_count_grass_pollen,data_count_tree_pollen,data_count_weed_pollen
40.0204,-80.7638,43906,2023-02-19 02:00:00+00:00,0,41,0
40.0701,-80.8176,43909,2023-02-19 02:00:00+00:00,0,35,0
40.0752,-80.7747,43912,2023-02-19 02:00:00+00:00,0,46,0
40.1224,-80.8149,43916,2023-02-19 02:00:00+00:00,0,36,0
40.1225,-80.938,43927,2023-02-19 02:00:00+00:00,0,28,0
40.0109,-80.8993,43928,2023-02-19 02:00:00+00:00,0,73,0
39.9372,-80.888,43933,2023-02-19 02:00:00+00:00,0,37,0
40.0756,-80.7901,43934,2023-02-19 02:00:00+00:00,0,84,0
40.1036,-80.7361,43935,2023-02-19 02:00:00+00:00,0,54,0
40.1302,-80.8773,43937,2023-02-19 02:00:00+00:00,0,30,0
39.9853,-81.1375,43713,2023-02-19 02:00:00+00:00,0,47,0
40.6072,-83.9585,45896,2023-02-19 02:00:00+00:00,0,115,0
40.569,-84.1774,45895,2023-02-19 02:00:00+00:00,0,117,0
40.6023,-84.086,45888,2023-02-19 02:00:00+00:00,0,178,0
39.4077,-82.1113,45761,2023-02-19 02:00:00+00:00,0,69,0
39.4556,-82.2309,45764,2023-02-19 02:00:00+00:00,0,78,0
39.3228,-82.2594,45766,2023-02-19 02:00:00+00:00,0,36,0
39.2129,-82.0218,45776,2023-02-19 02:00:00+00:00,0,112,0
39.4359,-81.9115,45777,2023-02-19 02:00:00+00:00,0,83,0
39.3213,-81.8929,45778,2023-02-19 02:00:00+00:00,0,90,0
39.3662,-82.1341,45780,2023-02-19 02:00:00+00:00,0,46,0
40.0284,-80.8245,43940,2023-02-19 02:00:00+00:00,0,83,0
39.4845,-82.0805,45782,2023-02-19 02:00:00+00:00,0,114,0
40.6241,-84.2603,45819,2023-02-19 02:00:00+00:00,0,118,0
40.391,-84.3729,45865,2023-02-19 02:00:00+00:00,0,108,0
40.4389,-84.3821,45869,2023-02-19 02:00:00+00:00,0,100,0
40.5563,-83.9514,45870,2023-02-19 02:00:00+00:00,0,112,0
40.5039,-84.3118,45871,2023-02-19 02:00:00+00:00,0,111,0
40.5559,-84.0836,45884,2023-02-19 02:00:00+00:00,0,97,0
40.544,-84.3944,45885,2023-02-19 02:00:00+00:00,0,118,0
40.6752,-84.1244,45806,2023-02-19 02:00:00+00:00,0,201,0
39.8679,-80.8168,43942,2023-02-19 02:00:00+00:00,0,103,0
39.9675,-80.7643,43947,2023-02-19 02:00:00+00:00,0,85,0
40.0778,-80.9788,43950,2023-02-19 02:00:00+00:00,0,24,0
39.5153,-84.6094,45004,2023-02-19 02:00:00+00:00,0,182,0
39.4059,-84.5221,45011,2023-02-19 02:00:00+00:00,0,87,0
39.441,-84.5757,45012,2023-02-19 02:00:00+00:00,0,108,0
39.441,-84.5757,45018,2023-02-19 02:00:00+00:00,0,108,0
39.4361,-84.6185,45013,2023-02-19 02:00:00+00:00,0,113,0
39.3266,-84.5479,45014,2023-02-19 02:00:00+00:00,0,89,0
39.3494,-84.5376,45015,2023-02-19 02:00:00+00:00,0,95,0
39.5755,-84.805,45003,2023-02-19 02:00:00+00:00,0,174,0
39.5321,-84.3896,45042,2023-02-19 02:00:00+00:00,0,115,0
39.4413,-84.3652,45050,2023-02-19 02:00:00+00:00,0,86,0
39.3537,-84.7761,45053,2023-02-19 02:00:00+00:00,0,85,0
39.4518,-84.5152,45055,2023-02-19 02:00:00+00:00,0,64,0
39.507,-84.7452,45056,2023-02-19 02:00:00+00:00,0,109,0
39.3124,-84.6483,45061,2023-02-19 02:00:00+00:00,0,96,0
39.479,-84.5512,45062,2023-02-19 02:00:00+00:00,0,101,0
39.3258,-84.7121,45063,2023-02-19 02:00:00+00:00,0,85,0
39.5151,-84.3983,45044,2023-02-19 02:00:00+00:00,0,122,0
39.4799,-84.4598,45067,2023-02-19 02:00:00+00:00,0,107,0
39.162,-84.4569,45280,2023-02-19 02:00:00+00:00,0,108,0
38.9832,-83.7966,45171,2023-02-19 02:00:00+00:00,0,75,0
40.111,-81.0102,43951,2023-02-19 02:00:00+00:00,0,26,0
40.0226,-80.9373,43967,2023-02-19 02:00:00+00:00,0,38,0
40.1032,-80.9756,43972,2023-02-19 02:00:00+00:00,0,38,0
40.1451,-81.0757,43977,2023-02-19 02:00:00+00:00,0,36,0
40.1507,-81.2145,43983,2023-02-19 02:00:00+00:00,0,50,0
40.1623,-81.1326,43985,2023-02-19 02:00:00+00:00,0,47,0
38.6709,-83.7637,45101,2023-02-19 02:00:00+00:00,0,107,0
39.162,-84.4569,45275,2023-02-19 02:00:00+00:00,0,108,0
38.8237,-83.6995,45115,2023-02-19 02:00:00+00:00,0,77,0
38.8806,-84.0087,45119,2023-02-19 02:00:00+00:00,0,77,0
38.8717,-83.9092,45121,2023-02-19 02:00:00+00:00,0,68,0
38.92,-83.9931,45130,2023-02-19 02:00:00+00:00,0,69,0
38.7903,-83.9666,45131,2023-02-19 02:00:00+00:00,0,70,0
39.0454,-83.948,45154,2023-02-19 02:00:00+00:00,0,75,0
38.7551,-83.8227,45167,2023-02-19 02:00:00+00:00,0,75,0
38.8511,-83.7625,45168,2023-02-19 02:00:00+00:00,0,90,0
39.1862,-83.9501,45118,2023-02-19 02:00:00+00:00,0,104,0
39.477,-82.0794,45740,2023-02-19 02:00:00+00:00,0,121,0
40.7563,-81.0175,44625,2023-02-19 02:00:00+00:00,0,63,0
40.8436,-80.9794,44665,2023-02-19 02:00:00+00:00,0,38,0
41.3034,-84.7589,43526,2023-02-19 02:00:00+00:00,0,124,0
41.3258,-84.2793,43530,2023-02-19 02:00:00+00:00,0,118,0
